id,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,12.5935,0.6758,-0.1279,0.0389,0.1337,0.0329,0.1176,0.1639,0.0077,-0.0563,-0.1482,-0.1000,-0.0141,-0.0187,-0.0811,-0.0801,0.0707,0.0405,-0.0280,0.0948,-0.0249,0.0076,0.1931,-0.0076
HUN,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,-0.0030,-0.0763,-0.1139,-0.0452,-0.0595,-0.0545,-0.0148,-0.0744,-0.0615,-0.0856,0.0548,0.0675,0.1649,0.1259,0.0432,-0.0855,0.0248,0.0733,0.1716,0.0701,0.1824,0.0569,0.1639,0.1439,0.1951,0.2146,0.2237,0.1478,0.1061,0.1899,0.0153,-0.0998,-0.1302,-0.0961,-0.0156,0.0542,-0.1272,-0.0627,0.1756,0.0277,-0.0331,0.1196,-0.0063,0.0398,0.2009,0.0078
IDN,,,,,,,,,,,,,,,,,,0.0000,0.9808,0.1003,0.1130,0.0800,0.0590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0652,0.4095,0.0063,0.0076,0.0470,0.3747,0.1283,0.0825,0.1549,0.2817,0.0255,0.0500,0.0411,0.0583,0.0408,0.0282,0.0353,0.0407,0.0417,0.2421,2.4418,-0.2156,0.0721,0.2184,-0.0926,-0.0788,0.0422,0.0857,-0.0562,-0.0020,0.0610,0.0712,-0.1251,-0.0352,0.0703,0.1145,0.1342,0.1285,
IND,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3354,0.1794,0.0000,0.0000,0.0000,-0.0011,0.0137,0.0194,0.0464,0.0339,0.0698,-0.0248,-0.0625,-0.0082,-0.0323,0.1012,0.0920,0.0681,0.1251,0.0886,0.0196,0.0278,0.0737,0.1659,0.0788,0.2993,0.1396,0.1765,0.0289,0.0336,0.0927,0.0248,0.1362,0.0435,0.0438,0.0499,0.0302,-0.0417,-0.0272,-0.0268,0.0274,-0.0874,0.0522,0.1126,-0.0554,0.0207,0.1450,0.0966,0.0415,0.0512,0.0474
IRL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0139,0.1507,0.0000,0.0000,-0.0138,-0.0256,0.0194,0.0480,0.0568,0.2311,0.0301,-0.0903,-0.0631,-0.0040,0.2767,0.1340,0.1421,0.1465,0.0250,-0.2141,-0.0945,-0.0244,0.0748,-0.1431,0.0276,-0.0540,0.1523,-0.0127,-0.0671,0.0021,0.0554,0.0646,0.0526,0.1564,0.0296,-0.0492,-0.1661,-0.0910,-0.0015,-0.0087,-0.0834,-0.0656,0.0544,0.0489,-0.0473,0.0819,-0.0323,0.0008,0.1963,0.0026
ISL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0003,0.0000,0.0000,1.2222,0.1076,0.0728,0.0000,0.0000,0.0000,0.0000,0.0271,0.4075,0.4155,0.0000,0.0000,0.0030,0.0248,0.1051,0.5377,0.1853,0.0917,0.3633,0.3006,0.3606,0.5058,0.7097,1.0113,0.2758,0.3096,-0.0097,-0.0590,0.1121,0.3261,0.0218,0.0122,-0.0246,0.1748,0.0346,-0.0751,0.0280,0.0662,0.0008,0.0194,0.0868,0.2392,-0.0592,-0.1631,-0.0850,-0.1027,0.1143,-0.0873,0.3730,0.4058,-0.0113,-0.0514,0.0787,-0.0232,-0.0443,0.1298,-0.0842
ISR,0.0000,0.0000,0.0000,1.7778,0.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6111,0.0345,0.0000,0.0000,0.0000,0.0267,0.1364,0.0000,0.0000,0.2000,-0.0048,0.0024,0.0621,0.4247,0.2508,0.3178,0.6689,0.4570,1.0165,1.2309,1.1229,1.3165,4.2160,3.0205,0.2621,0.0718,0.0027,0.1986,0.0521,0.1304,0.0790,0.1509,0.0639,0.0001,0.0599,0.0807,0.1017,0.0894,-0.0151,0.0315,0.1265,-0.0388,-0.0158,0.0013,-0.0071,-0.0780,-0.1266,0.0960,-0.0492,-0.0430,0.0776,-0.0636,-0.0091,0.0863,-0.0119
ITA,0.0000,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0004,-0.0058,0.0047,0.0016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0074,-0.0599,-0.0004,0.1155,0.0039,0.2749,0.0601,-0.0382,-0.0210,0.0308,0.3273,0.1898,0.1230,0.1568,0.0868,-0.2192,-0.1306,0.0043,0.0541,-0.1268,0.0355,-0.0066,0.2769,0.0246,0.0102,-0.0528,0.1038,0.0194,0.0468,0.1564,0.0296,-0.0492,-0.1661,-0.0910,-0.0015,-0.0087,-0.0834,-0.0656,0.0544,0.0489,-0.0473,0.0819,-0.0323,0.0008,0.1963,0.0026
JPN,0.0000,0.0000,0.0000,-0.0030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0259,-0.1355,-0.1038,0.0750,0.0161,-0.0008,-0.0946,-0.2163,0.0413,0.0347,-0.0274,0.1294,-0.0464,0.0000,0.0043,-0.2935,-0.1417,-0.1140,0.0766,0.0495,-0.0697,-0.0598,-0.1220,-0.0808,-0.0797,0.1565,0.1123,0.0819,-0.1299,-0.0539,0.1277,0.0318,-0.0754,-0.0668,0.0187,0.0552,0.0125,-0.1222,-0.0947,-0.0619,-0.0908,-0.0002,0.2231,0.0855,0.1425,-0.1012
KOR,0.0000,1.4000,0.0000,2.0000,0.0000,1.7778,0.0000,0.0000,0.0000,0.0000,0.2625,0.9769,0.0417,0.0000,0.6450,0.2458,0.0185,-0.0030,0.0227,0.0416,0.0777,0.1178,0.1318,0.0138,0.0154,0.1966,0.0000,0.0000,0.0000,0.0000,0.2550,0.1212,0.0735,0.0611,0.0390,0.0795,0.0131,-0.0668,-0.1107,-0.0820,0.0541,0.0362,0.0645,0.0282,0.0010,-0.0400,0.0430,0.1825,0.4732,-0.1517,-0.0487,0.1415,-0.0309,-0.0475,-0.0389,-0.1058,-0.0677,-0.0267,0.1859,0.1587,-0.0947,-0.0413,0.0164,-0.0281,-0.0383,0.0743,0.0257
