id,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
BTN,,,,,,,,,,,,,,,,,,,,,,
BWA,,,,,,,,,,,,,,,,,,,,,,
CAF,,,,,,,,5000,6000,7000,8000,11000,,,,38000,,,,,,
CAN,18206000,18973000,19111000,17648000,18368000,19182000,18359000,17705000,17739000,19595000,21099000,22731000,25163000,27034000,26204000,28680000,30450000,32276000,32971000,33518000,32267000,
CEB,72853759.5,81369546.44,86835393.16,88459608.25,92884233.3,95836629.86,92253009.41,85151167.08,80794956.63,84060319.18,89501505.98,93981868.6,103194194.5,110599000,95151000,95233000,94646000,95640000,102067000,86720000,98234000,
CHE,11148000,12061000,12515000,11891000,11815000,12240000,11554000,11427000,8774000,,,,,11147000,10453000,10011000,10466000,12098000,12403000,12518000,13601000,
CHI,,,,,,,,,,,,,,,,,,,,,,
CHL,,,,,,1319000,1180000,1293000,1341000,1504000,1725000,1887000,2047000,1899500,1909300,2218700,2637600,2837100,2999000,3169000,3359000,
CHN,4520000,5061000,5324000,8426000,9232000,10473000,12133000,16602000,20222000,28853000,31026000,34524000,40954000,45844000,47656000,57386000,70250000,83183000,98185000,107276000,116886000,
CIV,,,,,,,,,,,,,,,,,,,,,,
CMR,,,,,,,,,,,,,,,,,,,,,,
COD,,,,50000,50000,,,,,,,,,,,,,,,,,
COG,,,,,,,,,,,,,,,,,,161000,180000,,,
COL,1057000,929000,1071000,1093000,1098000,1235000,1381000,1277000,1177000,1405000,1553000,,2028000,2042000,2122000,2342000,2522000,3165000,3605000,3911000,3860000,
COM,,,,,,,,,,,,,,,,,,,,,,
CPV,,,,,,,,,,,,,,,,,,,,,,
CRI,273000,283000,288000,330000,353000,381000,361000,364000,373000,425000,487000,485000,577000,528000,579000,662000,717000,773000,790000,798000,919000,
CSS,,,,,,,,,,,,,,,,,,,,,,
CUB,72000,72000,83000,94000,97000,139000,121000,111000,113000,124000,162000,199000,194000,202000,206000,251000,253000,213000,286000,355000,580000,
CUW,,,,,,,,,,,,,,,,,,,,,,
CYM,,,,,,,,,,,,,,,,,,,,,,
CYP,360000,365000,422000,484000,540000,588000,684000,744000,737000,859000,914000,932000,1081000,1210000,1172000,1246000,1209000,1194000,1115000,1209000,1119000,1268000
CZE,,,,,,,,,7213000,6643000,6963000,6393000,9048000,9665000,8904000,8673000,5279000,5419000,5781000,5651000,5856000,
DEU,,,55800000,69200000,78100000,80507000,81551000,80393000,85345000,84859000,86622000,81801000,82099000,86201000,85547000,85872000,84692000,82729000,87459000,83008000,83737000,
DJI,,,,,,,,,,,,,,,,,,,,,,
DMA,,,,,,,,,,,,,,,,,,,,,,
DNK,,5035000,4693000,4788000,4744000,5011000,4946000,4935000,5564000,4630000,5469000,6129000,6564000,6347000,7037000,7726000,7846000,7843000,6977000,8528000,8991000,
DOM,168000,358000,355000,354000,363000,360000,331000,332000,321000,368000,419000,420000,443000,413000,415000,401000,408000,418000,392000,427000,478000,500000
DZA,1090000,874000,827000,879000,903000,1006000,1190000,1257000,1254000,1417000,1513000,1349000,1499000,1539000,1677000,1757000,1715000,1911000,2136000,2839000,3638000,
EAP,18978130.05,21473112.56,23276586.93,24734301.91,25681405.69,29541602.21,34485769.52,34050503.94,37797784.9,43145282.97,46844284.38,53147266.9,62031075.41,67956993.7,69671460.53,84147575.33,100207058.6,117052667.4,136747924.4,148734855.1,160577947.4,
EAR,51214860.44,55554694.47,58108867.91,62228975.94,66214082.77,72216462.6,74365303.95,74556346.28,72409990.68,83398464.39,91024566.42,92455087.87,98922958.89,100872611.2,104181812.6,129166532.5,131373490.6,141973207.6,150557410.4,161020200.8,172596998.7,
EAS,,,,111029513.5,120207382.7,135134367.3,143222409.1,147230259.4,144940043.6,168940181,179444037.9,192471295.5,209702886.3,214634066.6,213311310.8,244826606.3,263374393.6,285485655.3,306385648.7,320839579.6,342943007.6,
ECA,48748920.64,37418077.91,41890595.84,40380843.47,41336649.82,56734241.87,58985045.75,62147107.92,64718620.49,74236325.94,81544622.41,87172495.85,94292240.92,99927028.84,97056365.77,104735013.2,117260067.4,125729811.5,140247994.6,132081810.4,122147656.1,
ECS,,317652990.4,338094019.2,361616633,376764153.1,411017365.6,411746283.5,415638936.5,420589858.6,439049761.1,468723714.9,474251968.2,502600148.8,516348575.1,486721413.8,497571832.8,514929054.9,524790824.9,549185690.6,528564194.2,542453251.3,
ECU,271000,275000,321000,330000,386000,520000,562000,627000,613000,603000,664000,733000,801000,815000,814000,899000,1022000,1022000,1138000,1278000,1398000,
EGY,2683000,2812000,2722000,2854000,2886000,2964000,3074000,3330000,3644000,5210000,5307000,4531000,,,4716000,4618000,4863000,5678000,5782000,6180000,,
EMU,,,145018158.3,163269856.6,170640840,183729236.1,184626790.8,188393203.9,196230742.6,200091177,212312225.7,209828151,223494367.8,227880811.9,226768835.5,228751188.9,232703505.9,227231384.7,231644770.3,233214749.4,236892423.8,
ERI,,,,,,,,,,,,,,,,,,,,,,
ESP,3648000,4224000,3980000,4794000,3519000,4100000,4139000,3871000,4094000,5121000,10464000,10678000,11276000,11229000,12017000,12379000,13347000,12422000,11246000,11783000,14407000,
EST,1764000,1547000,1616000,1659000,1780000,1800000,1658000,1849000,2075000,,,438000,677000,692000,752000,955000,1054000,1147000,1166000,1426000,1250000,
ETH,120000,133000,,,,,,,,,,,,,,,,,,,,
EUU,,270816555.2,286104530.9,311385515.4,324405341.7,342743430.4,342531933.1,342945457.6,349214615.6,358540812.6,380492046.7,382290073.6,405085982.8,416314462.9,389170491.9,390030519.2,395815785.5,395747351,406168960.2,394891406.8,417040370.6,
FCS,,,,,,,,,,,,,,,,,,,,,,
FIN,5147000,4918000,5233000,4743000,5314000,5914000,5824000,5857000,5585000,5798000,5902000,5756000,5749000,5854000,5832000,6633000,7274000,9055000,8562000,8731000,8904000,
FJI,68000,72000,74000,78000,89000,83000,85000,99000,104000,94000,109000,121000,120000,124000,125000,128000,132000,132000,,,,
FRA,18686000,18151000,17115000,18077000,16709000,19886000,19265000,18315000,18576000,21131000,22480000,22240000,28103000,25506000,25140000,25041000,26155000,25317000,26062000,27919000,26648000,
FRO,,,,,,,,,,,,,,,,,,,,,,
FSM,,,,,,,,,,,,,,,,,,,,,,
GAB,,,,203000,187000,168000,189000,219000,236000,,,,,,,,,,,,,
GBR,41345000,42050000,45957000,50872000,53881000,56837000,58281000,59377000,61424000,64194000,66494000,69536000,69450000,69011000,58614000,55562000,56836000,56538000,57792000,60082000,65720000,
GEO,228000,219000,355000,433000,373000,315000,306000,317000,,466000,857000,1346000,1473000,1872000,1980000,2086000,2237000,2734000,3220000,3106000,3135000,
GHA,,,,,,,,,,,,,,,,,,,,,,
GIB,,,,,,,,,,,,,,,,,,,,,,
GIN,,,,,,,,,,,,,,,,,,,,,,
GMB,,,,,,,,,,,387000,307000,,,,,,,,,,
GNB,,,,,,,,,,,,,,,,,,,,,,
GNQ,,,,,,,,,,,,,,,,,,,,,,
GRC,,,,,,,,,,,,,,3765000,3835000,3799000,4941000,4681000,4594000,5802000,6291000,
GRD,,,,,,,,,,,,,,,,,,,,,,
GRL,,,,,,,,,,,,,,,,,,,,,,
GTM,333000,333000,331000,391000,485000,488000,580000,629000,658000,854000,982000,1055000,1168000,1277000,651000,694000,718000,721000,846000,992000,1130000,1204000
GUM,,,,,,,,,,,,,,,,,,,,,,
GUY,,,,,,,,,,,,,,,,,,,,,,
HIC,,,461673910.6,487991417.9,513520783.3,548838315.6,545738035.9,549465396.6,537420804.6,572951589.3,606066799.9,612842442.2,647453903.8,655857543.8,625453499.2,652949423.1,659461811.3,673849282.8,689118962.8,688371201.3,726442088.2,
HKG,,,,47594000,53144000,58901000,61096000,64540000,60936000,68903000,72300000,75812000,80682000,81911000,81958000,84442000,84816000,85276000,84414000,84519000,89082000,91758000
HND,149000,162000,183000,202000,235000,274000,279000,279000,277000,295000,284000,295000,315000,387000,395000,408000,449000,464000,471000,557000,692000,
HPC,,,,,,,,,,,,,,,,,,,,,,
HRV,,,,,,,,,,,,,,2357000,2497000,1873000,2880000,2680000,2927000,2763000,2578000,
HTI,,,,,,,,,,,,,,,,,,,,,,
HUN,13083000,12064000,12173000,12317000,10622000,11065000,11167000,12966000,14283000,17558000,17759000,16597000,17056000,17162000,16640000,16082000,16634000,16143000,16038000,16340000,17276000,
IBD,133589057,138211489.3,149487225.4,153388158.6,161723446.3,184619761.1,191929796.4,185329208.6,188240866.6,208434527.1,227814437.4,245612629.5,270478494,288593910.5,273231051.8,306381788,340685719.9,376288151.5,417659873.5,407511333.9,425714557.5,
IBT,167976687.4,173718233.1,188112192.9,193494311.1,204805635.4,233811821.7,242309329.5,234401791.7,239381456,265471506.2,290304590.7,312535971.9,344975478.8,366660338.9,349175899.6,391211872.7,435253358.2,480961250,532766724.9,521248447.7,544490372.8,
IDA,,,,,,,,,,,,,,,,,,,,,,
IDB,,,,,,,,,,,,,,,,,,,,,,
IDN,,,,,,2205000,2505000,3231000,3478000,3941000,4106000,4967000,5158000,5486000,5053000,6235000,6750000,7454000,8025000,8074000,8176000,
IDX,,,,,,,,,,,,,,,,,,,,,,
IMN,,,,,,,,,,,,,,,,,,,,,,
IND,3056000,3464000,3726000,3811000,4115000,4416000,4564000,4940000,5351000,6213000,7185000,8340000,9783000,10868000,11067000,12988000,13994000,14920000,16626000,18330000,20376000,
INX,,,,,,,,,,,,,,,,,,,,,,
IRL,2547000,2733000,3053000,3330000,3576000,3783000,4216000,4634000,4929000,5409000,6113000,6848000,7713000,7877000,7047000,6917000,6514000,6600000,6579000,6676000,7094000,
IRN,1000000,1218000,1433000,1690000,1856000,2286000,2400000,2921000,,,,,,,,,,,,7698000,6620000,
IRQ,,,,,,,,,,,,,,,,,,,,,,
ISL,166000,190000,203000,227000,257000,283000,,,,,364000,440000,460000,414000,259000,299000,341000,358000,365000,400000,450000,536000
ISR,2259000,2505000,2707000,2983000,3203000,3530000,3561000,3273000,3299000,3614000,3687000,3713000,4147000,4207000,4007000,4269000,4387000,4349000,4757000,5181000,5891000,
ITA,,18173000,19078000,19352000,18962000,21993000,22421000,25126000,26817000,23349000,24796000,25697000,27734000,28284000,29060000,29823000,29295000,28810000,27798000,28460000,29040000,
JAM,,,,,,,,,,,,,,,,,,,,,,
JOR,1128000,1141000,1233000,1347000,1561000,1625000,1755000,1276000,1229000,1420000,1523000,2139000,2094000,1972000,2054000,2708000,1931000,1567000,1498000,1230000,,
JPN,15298000,16695000,16803000,15806000,16358000,17819000,16216000,16523000,13296000,16831000,17404000,17535000,17295000,15987000,15446000,16637000,16994000,18491000,17473000,16903000,16214000,
KAZ,,523000,419000,502000,398000,1247000,2294000,2274000,2374000,3915000,2975000,3615000,4449000,4239000,5309000,5893000,7852000,8875000,9931000,10230000,,
KEN,,,,,,,,,,,,,,,,,,,,,,
KGZ,42000,,,33000,45000,47000,46000,59000,116000,239000,201000,454000,559000,736000,580000,597000,931000,1326000,1401000,1442000,1720000,
KHM,31000,38000,45000,41000,49000,41000,37000,45000,60000,239000,568000,787000,996000,786000,340000,505000,710000,792000,872000,956000,1194000,1434000
KIR,,,,,,,,,,,,,,,,,,,,,,
KNA,,,,,,,,,,,,,,,,,,,,,,
KOR,3819000,4649000,4542000,3067000,4342000,5508000,6084000,7123000,7086000,8826000,10080000,11610000,13325000,11996000,9494000,12488000,12694000,13737000,14846000,16081000,19310000,22383000
KWT,878000,1051000,1097000,1264000,1209000,1236000,1666000,1725000,1774000,1928000,2173000,2529000,2649000,,,,,,,,,
LAC,20538137.37,23126522.51,23897198.02,25656507.34,25319662.69,27471088.38,28292864.16,26193581.61,26430311.43,29662142.84,32182741.91,33932054.63,37283531.35,38254856.47,37028705.11,39946945.63,44290946.29,47464776.65,49018844.94,52795210.36,56790212.86,
LAO,,,,,,,,,,,,,,,,1686000,1788000,2052000,2857000,3320000,3067000,
LBN,,,,,,,,,,,,,,,,,,,,,,
LBR,,,,,,,,,,,,,,,,,,,,,,
LBY,484000,493000,650000,,,,,,,,,,,,,,,,,,,
LCA,,,,,,,,,,,,,,,,,,,,,,
LCN,23747216.36,26387385.61,27297840.78,29260618.24,28912882.08,31205732.91,31822738.81,29708043.36,30008635.98,33621020.98,36548898.58,38559640.1,42019810.7,42939800.19,41445339.08,44765668.14,50034826.66,53673988.23,55855260.89,59917348.58,63915156.17,
LDC,,,,,,,,,,,,,,,,,,,,,,
LIC,,,,,,,,,,,,,,,,,,,,,,
LIE,,,,,,,,,,,,,,,,,,,,,,
LKA,504000,494000,531000,518000,497000,524000,505000,533000,561000,680000,727000,757000,862000,966000,963000,1122000,1239000,1269000,1262000,1311000,1356000,
LMC,34683136.03,35340822.97,42020083.92,40966396.78,42400557.5,53655592.86,56594514.04,58444908.59,62088751.32,69967176.69,76574648.57,82005054.06,89848405.52,91649534.76,88943284.93,98330754.23,107131958.3,116951555.7,125953347.9,127601477.4,134407976.7,
LMY,120315595.5,116517719.2,125964467.1,130246504.1,134528429.6,160856179.4,173261465.8,174373240.3,186270321.8,212957309.3,232581915.4,249472747.3,277952908.3,296145143.1,293091959.8,329786667.6,371001279.1,409856693.1,455227815.2,467563486.8,478836671.1,
LSO,,,,,,,,,,,,,,,,,,,,,,
LTE,98622993.51,101582746.3,108388400.3,112905679.5,120334865.7,134537721.8,138984075,132250010.8,134820921.5,147678965.5,162792623.4,178726565.1,203424092.6,220583286.9,203697764.1,227323880,254562245.4,280994242.3,314282317.1,300728744.3,311887611.6,
LTU,1925000,2864000,2981000,3241000,3487000,3632000,3390000,3584000,3502000,,1633000,1789000,1661000,1757000,1288000,1411000,1526000,1708000,1764000,1789000,1860000,
LUX,,,694000,757000,809000,950000,923000,1049000,1021000,1100000,1185000,1084000,1132000,1190000,1362000,1237000,1643000,1580000,1624000,1815000,1702000,
LVA,1812000,1798000,1877000,1961000,2256000,2596000,2697000,2306000,2286000,2457000,2959000,3151000,3398000,3782000,3268000,3332000,3257000,183000,1776000,1846000,1720000,
MAC,,,,,,,,,,,629000,645000,599000,606000,671000,753000,908000,1291000,1446000,1537000,1466000,1256000
MAF,,,,,,,,,,,,,,,,,,,,,,
MAR,1317000,1212000,1203000,1275000,1545000,1508000,1701000,1533000,1612000,1603000,2247000,2135000,2669000,3421000,2293000,2175000,2378000,2323000,2195000,1850000,1910000,
MCO,,,,,,,,,,,,,,,,,,,,,,
MDA,71000,54000,35000,28000,37000,32000,30000,52000,67000,68000,57000,68000,82000,85000,93000,116900,135900,146400,157300,179500,185700,
MDG,39000,,,,,,,,,,,,,,,,,,,,,
MDV,32000,32000,33000,37000,42000,42000,41000,43000,44000,61000,77000,74000,102000,123000,,,,,,,,
MEA,,,,,,,,,,,,,,,,,,,,,,
MEX,8450000,9001000,8910000,9637000,10352000,11079000,12075000,11948000,11044000,12494000,13305000,14002000,15257000,14527000,14104000,14334000,14799000,15581000,15911000,18261000,19603000,
MHL,,,,,,,,,,,,,,,,,,,,,,
MIC,111594188.3,108222413.6,116972559,120776213.6,124534978.8,149156936.5,160616819.2,161588884.9,172633513.4,197287430.1,215517483.7,231178398.6,257651622.8,274367421.4,271665454.5,304701341.5,343872923.7,379335486.9,421353610.1,432294501.7,442417273.4,
MKD,,,,,,,,,,,,,,,,,,,,,,
MLI,,,,,,,,,,,,,,,,,,,,,,
MLT,163000,168000,172000,167000,179000,200000,179000,157000,174000,203000,225000,257000,280000,261000,264000,294000,309000,331000,363000,391000,428000,
MMR,,,,,,,,,,,,,,,,,,,,,,
MNA,,,,,,,,,,,,,,,,,,,,,,
MNE,,,,,,,,,,,,,,,,,,,,,,
MNG,,,,,,,,,,,,,,,,,,,,,,
MNP,,,,,,,,,,,,,,,,,,,,,,
MOZ,,,,,,,,,,,,,,,,,,,,,,
MRT,,,,,,,,,,,,,,,,,,,,,,
MUS,107000,120000,132000,143000,154000,163000,161000,162000,161000,180000,183000,186000,213000,226000,196000,212000,219000,237000,250000,257000,254000,
MWI,,,,,,,,,,,,,,,,,,,,,,
MYS,20642000,23333000,26165000,25631000,26067000,30532000,36248000,29866000,32201000,30761000,,,,,,,,,,,,
NAC,69482144.94,71962828.8,72330781.9,73334653.97,75580367.77,80498740.95,77791086.02,75769980.97,73987416.21,81403125.13,84599964.39,86397500.3,89221058.91,90704200.7,88271739.42,89758021.27,89676005.72,92990634.29,94862989.35,101713288.4,105740052,
NAM,,,,,,,,,,,,,,,,,,,,,,
NCL,59000,64000,63000,68000,69000,69000,68000,72000,78000,89000,96000,100000,106000,112000,119000,132000,124000,121000,121000,124000,127000,
NER,10000,10000,10000,10000,,,,,,,,,,,,,,,,,,
NGA,,,,,,,,,,,,,,,,,,,,,,
NIC,255000,282000,330000,422000,452000,486000,499000,532000,562000,701000,740000,773000,949000,942000,858000,908000,912000,979000,994000,959000,925000,
NLD,12313000,12807000,12858000,13553000,14184000,13896000,14214000,16719000,16425000,17130000,17039000,16695000,17523000,18399000,18340000,18368000,18560000,18628000,18094000,17928000,18070000,
NOR,590000,692000,753000,,2271000,2394000,2348000,2629000,2588000,2960000,3166000,3236000,3395000,,,,,,,,,
NPL,100000,119000,132000,122000,125000,155000,200000,238000,258000,286000,373000,415000,469000,561000,589000,765000,774000,862000,983000,,,
NRU,,,,,,,,,,,,,,,,,,,,,,
NZL,920000,1093000,1132000,1166000,1185000,1283000,1287000,1293000,1374000,1733000,1872000,1861000,1978000,1967000,1918000,2026000,2096000,2172000,2197000,2276000,2412000,
OED,364078448.1,385670836.9,400571634.1,423886830.4,442674907.1,470847448.4,466206451.2,466022047.5,463250841.7,489737897.1,519025923.8,523601230.1,547827684.8,553620234.4,523264591.2,534783214.2,541735559.9,550082850.4,565309404.9,565002715,597188690.2,
OMN,,,,,,,,2060000,,,2018000,2248000,2263000,2062000,1645000,1873000,2446000,2888000,3103000,3358000,3838000,
OSS,,,,,,,,,,,,,,,,,,,,,,
PAK,,,,,,,,,,,,,,,,,,,,,,
PAN,185000,188000,194000,211000,221000,216000,200000,200000,227000,256000,285000,284000,314000,369000,336000,392000,414000,447000,619000,853000,740000,
PER,508000,510000,577000,538000,513000,730000,1060000,1232000,1433000,1635000,1841000,1857000,1915000,1913000,1891000,2058000,2132000,2296000,2364000,2442000,2595000,
PHL,1615000,2121000,1930000,1817000,1755000,1670000,1787000,1969000,1803000,1920000,2144000,2745000,3066000,3355000,3188000,,,,,,,
PLW,,,,9000,,,,,,,,,,,,,,,,,,
PNG,51000,,64000,65000,58000,52000,38000,92000,,,,,,,,,,,,,,
POL,36387000,44713000,48610000,49328000,55097000,56677000,53122000,45043000,38730000,37226000,40841000,44696000,47561000,50243000,39270000,42760000,43270000,48290000,52580000,35400000,44300000,
PRE,,,,,,,,,,,,,,,,,,,,,,
PRI,1237000,1184000,1251000,1250000,1134000,1259000,1331000,1227000,1272000,1361000,1410000,1468000,1441000,1438000,1116000,980000,924000,876000,839000,793000,746000,
PRK,,,,,,,,,,,,,,,,,,,,,,
PRT,,,,,,,,,,17141000,18110000,18378000,20989000,,,,,1361000,1329000,1460000,,
PRY,427000,418000,369000,318000,281000,175000,157000,141000,153000,170000,188000,210000,242000,278000,288000,302000,347000,400000,440000,426000,1008000,
PSE,,,,,,,,,,,,,,,,,,,,,,
PSS,,,,,,,,,,,,,,,,,,,,,,
PST,,,394758449.3,416285522.8,432894783.7,470621288.8,472635671.1,484767440.5,484005716.7,518158497,545506539.3,548631322.8,575909566.4,580668125.1,562120873.4,571897703.5,582162458.3,591455438.2,601759196.4,614389226.1,639931981.8,
PYF,63000,65000,,,,,,,,,,,,,88000,89000,84000,83000,80000,79000,78000,
QAT,,,,,,,,,,,,,,,,,,,,,,
ROU,5737000,5748000,6243000,6893000,6274000,6388000,6408000,5757000,6497000,6972000,7140000,8906000,10980000,13072000,11723000,10905000,10936000,11149000,11364000,12299000,13118000,
RUS,21329000,12260000,11182000,10635000,12631000,18371000,18030000,20428000,20572000,24507000,28416000,29107000,34285000,36538000,34276000,39323000,43726000,47813000,54069000,45889000,34550000,
RWA,,,,,,,,,,,,,,,,,,,,,,
SAS,5104212.178,5666330.193,5968835.47,6185555.668,6639313.584,7071625.23,7207075.355,7801927.15,8610112.89,9938652.858,11433119.23,12873405.55,15286675.26,15117362.6,16943521.78,19125115.55,20658496.87,22014160.89,23161348.84,25431129.95,28138552.83,
SAU,,,,,,,,7896000,4104000,3811000,4403000,2000000,4126000,4087000,6032000,17827000,15281320,18671000,19153960,19824490,20819000,
SDN,195000,,,,,,,,,,,,,,,,,,,,,
SEN,,,,,,,,,,,,,,,,,,,,,,
SGP,2867000,3305000,3671000,3745000,3971000,4444000,4363000,4399000,4221000,5165000,5159000,5533000,6024000,6828000,6961000,7342000,7753000,8048000,8647000,8903000,9125000,
SLB,,,,,,,,,,,,,,,,,,,,,,
SLE,,,6000,7000,13000,13000,20000,27000,13000,28000,63000,67000,71000,73000,72000,76000,99000,104000,111000,93000,61000,
SLV,348000,492000,627000,868000,787000,923000,933000,1001000,940000,1079000,1239000,1242000,1012000,,1345000,1421000,1469000,1462000,1515000,1515000,1618000,
SMR,,,,,,,,,,,,,,,,,,,,,,
SOM,,,,,,,,,,,,,,,,,,,,,,
SRB,,,,,,,,,,,,,,,,,,,,,,
SSA,,,,,,,,,,,,,,,,,,,,,,
SSD,,,,,,,,,,,,,,,,,,,,,,
SSF,,,,,,,,,,,,,,,,,,,,,,
SST,,,,,,,,,,,,,,,,,,,,,,
STP,,,,,,,,,,,,,,,,,,,,,,
SUR,,,,,,,,,,,,,,,,,,,,,,
SVK,,,,,,,,,,,2987000,3149000,3603000,3683000,3230000,2692000,3285000,2689000,2129000,2406000,2777000,
SVN,,,,,,1965000,2055000,2127000,2114000,2800000,2660000,2680000,2496000,2459000,2586000,2874000,2722000,2474000,2612000,2642000,2867000,
SWE,10127000,10390000,10818000,11422000,10500000,10147000,10741000,12888000,12649000,13950000,15677000,12559000,12692000,13291000,11699000,13042000,14651000,15548000,15917000,,,
SWZ,,,,,,,,,,,1082000,1072000,1130000,1177000,1245000,1141000,1264000,1403000,1573000,1657000,1713000,1747000
SXM,,,,,,,,,,,,,,,,,,,,,,
SYC,31000,29000,30000,31000,32000,36000,41000,53000,50000,48000,52000,55000,58000,54000,49000,59000,48000,45000,47000,50000,56000,
SYR,1746000,1871000,2299000,2411000,2994000,3863000,3492000,3299000,3997000,4309000,4564000,4042000,4196000,5253000,5215000,6259000,,,,,,
TCA,,,,,,,,,,,,,,,,,,,,,,
TCD,,,,,,27000,40000,23000,,,,,,58000,66000,39000,76000,79000,86000,98000,94000,
TEA,18741021.57,21204832.33,22985774.5,24425277.12,25360548,29172516.09,34054912.09,33625084.62,37325547.9,42606235.54,46259022.46,52483256.94,61256073.15,67107954.35,68801001.02,83096254.51,98955094.18,115590237.8,135039426.7,146876595.4,158571722.8,
TEC,87209923.63,85592825.72,94234240.16,93542275.21,100813584.7,117547289.5,115843882.1,110173841.2,105814440.7,113523283.1,124645203.1,134372947.2,144494839.1,152955690.8,138381716.7,149739118.7,162671260.7,176468463.3,195455798,168819350.6,169491369.6,
TGO,,,,,,,,,,,,,,,,,,,,,,
THA,1820000,1845000,1660000,1412000,1655000,1909000,2011000,2250000,2152000,2709000,3047000,3382000,4018000,3908000,4653000,5451000,5397000,5721000,5970000,6444000,6794000,
TJK,,,,,4100,6400,2700,,,,,,,,,,,15000,15000,19000,16000,
TKM,21000,29000,31000,357000,,78000,111000,79000,34000,32000,33000,33000,38000,,,,,,,,,
TLA,22232095,24921576.33,25742373.81,27687852.01,27465574.52,29567307.19,30124270.54,28140809.7,28390446.76,31878023.34,34698502.57,36598071.7,40104460.6,41019381.08,39892781.51,43291025.47,48616607.54,52349028.81,54484983.96,58508169.47,62307213.46,
TLS,,,,,,,,,,,,,,,,,,,,,,
TMN,,,,,,,,,,,,,,,,,,,,,,
TON,,,,,,,,,,,,,,,,,,,,,,
TSA,5104212.178,5666330.193,5968835.47,6185555.668,6639313.584,7071625.23,7207075.355,7801927.15,8610112.89,9938652.858,11433119.23,12873405.55,15286675.26,15117362.6,16943521.78,19125115.55,20658496.87,22014160.89,23161348.84,25431129.95,28138552.83,
TSS,,,,,,,,,,,,,,,,,,,,,,
TTO,261000,248000,,,,,,,,,,,,,270000,273000,,,,,,
TUN,1778000,1428000,1381000,1526000,1480000,1632000,1669000,1939000,2274000,2312000,2241000,2302000,2743000,3118000,2623000,2250000,2303000,2897000,2873000,2637000,,
TUR,3981000,4261000,4633000,4601000,4758000,5284000,4856000,5131000,5928000,7299000,8246000,8275000,4956000,4893000,5561000,6557000,6282000,5803000,7526000,7982000,8751000,
